,full_address,neighborhood,nid,sale_price,prediction,difference
5,"618 48th Ave, San Francisco, CA 94121-2410",1 - Outer Richmond,1050,3310000,3741981,-431981
7,"1434 La Playa St, San Francisco, CA 94122",2 - Outer Sunset,2030,1304000,1245529,58470
9,"1516 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1830000,1773181,56818
15,"739 48th Ave, San Francisco, CA 94121-3209",1 - Outer Richmond,1050,1650000,1535619,114380
17,"1492 La Playa St, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1471109,-171109
23,"784 48th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1300000,1122072,177927
46,"1818 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,2129000,2401429,-272429
57,"525 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1865000,1782058,82941
62,"5601 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3200000,3389672,-189672
63,"1878 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1900000,3031597,-1131597
70,"1327 48th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1190835,9164
75,"618 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1711400,1619488,91911
102,"27 Alta Mar Way, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1808174,-58174
153,"5529 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3040000,3857408,-817408
174,"2029-2029 B 48th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1080000,802765,277234
188,"542 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,3381000,3525504,-144504
206,"44 Seal Rock Dr, San Francisco, CA 94121",1 - Outer Richmond,1050,1850000,2080557,-230557
210,"662 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1825000,1886207,-61207
219,"1459 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1385000,1184538,200461
229,"787 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1500000,1393279,106720
230,"778 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1285124,144875
233,"811 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,849000,372577,476422
235,"806 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,960000,698354,261645
252,"4033 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,922941,277058
255,"879 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1035000,492024,542975
264,"1666 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225700,1649102,-423402
272,"4015 Ortega St, San Francisco, CA 94122-3945",2 - Outer Sunset,2030,1350000,1166647,183352
333,"2110 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1530000,1425545,104454
348,"615 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1886867,-161867
351,"1367 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1480000,1254842,225157
363,"4036 Moraga St, San Francisco, CA 94122",2 - Outer Sunset,2030,1520000,1403111,116888
380,"695 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1620000,1460029,159970
385,"2263 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1000000,796674,203325
387,"1426 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2000000,2014200,-14200
