old_index,sf,longitude,latitude,mean_hood_ppsf
0,2691,-122.50965,37.78028,682.5219869
1,2437,-122.50929,37.762608,675.0307755
2,2597,-122.50929,37.762608,606.4882557
3,1312,-122.50924,37.77733,978.1504065
4,3307,-122.50919,37.776695,869.972785
6,1168,-122.509186,37.761005,866.4383562
8,873,-122.50908,37.75948,1109.965636
10,1415.339879,-122.509056,37.774548,859.6286196
11,1415.339879,-122.509056,37.774548,859.6286196
12,1328,-122.509056,37.774612,956.3253012
13,2200,-122.50905,37.774677,751.6666667
14,1368,-122.50904,37.774418,956.3840156
16,1052.683672,-122.50903,37.77442,1054.447817
18,1052.683672,-122.50902,37.774292,1054.447817
19,1275,-122.50902,37.774292,996.0784314
20,1523,-122.50901,37.773907,946.1100897
21,3172,-122.50901,37.77397,661.6225305
22,1065,-122.508995,37.773907,1042.253521
24,1180,-122.508965,37.77352,1046.610169
25,1180,-122.508965,37.77352,1046.610169
26,1125,-122.50884,37.75612,923.5555556
27,1965,-122.508835,37.771725,787.9558948
28,1832,-122.50879,37.755703,699.5997089
29,1188,-122.50877,37.755543,870.650954
30,1843,-122.508766,37.779903,764.2275276
31,1512,-122.50874,37.779892,1059.915564
32,1134,-122.50868,37.779003,1018.518519
33,1134,-122.50868,37.779003,1018.518519
34,1702,-122.508606,37.778996,938.655895
35,1012,-122.50857,37.775208,1131.422925
36,1372,-122.50857,37.779007,1002.186589
37,912,-122.50856,37.75384,1122.44152
38,1415.339879,-122.50856,37.75384,1059.345077
39,1541,-122.50856,37.76217,840.4715553
40,1630,-122.50852,37.776123,884.0034765
41,1125,-122.50852,37.779907,1026.666667
42,1052.683672,-122.50851,37.753426,1024.682623
43,1002,-122.50845,37.75845,915.8349967
44,1630,-122.50839,37.77613,884.0034765
45,1719,-122.50837,37.752396,601.7064185
47,1579,-122.50832,37.779274,1014.941313
48,1475,-122.508316,37.77918,920.9039548
49,961,-122.50831,37.7636,954.9080819
50,1100,-122.50831,37.76388,874.5454545
51,1025,-122.50831,37.775208,1082.926829
52,2054,-122.50831,37.776146,814.0214216
53,1912,-122.508286,37.756584,718.2705718
54,1680,-122.508286,37.778763,950.9478175
55,2191,-122.508286,37.778763,829.1495512
56,1165,-122.50827,37.758446,831.7596567
58,995,-122.50826,37.75163,1028.81072
59,1157,-122.50826,37.76297,831.4606742
60,905,-122.508255,37.762936,1239.779006
61,2300,-122.508255,37.7783,789.8550725
64,2205,-122.50823,37.777973,823.8851096
65,1494,-122.50822,37.777775,1006.247211
66,1494,-122.50822,37.777775,1006.247211
67,1494,-122.5082,37.777576,1006.247211
68,1052.683672,-122.508194,37.777676,1079.779897
69,744.3465347,-122.50818,37.756588,1257.926637
71,2100,-122.50815,37.761562,746.8253968
72,1318,-122.50813,37.761116,839.908953
73,3450,-122.50813,37.776585,766.2801932
74,995,-122.508125,37.750565,1028.81072
76,1000,-122.50812,37.75658,896
77,1052.683672,-122.50812,37.75658,914.1714258
78,1000,-122.50812,37.75658,896
79,920,-122.50811,37.761055,1009.782609
80,1930,-122.5081,37.776398,810.880829
81,1025,-122.508095,37.750313,1052.357724
82,1160,-122.508064,37.756584,891.6666667
83,2260,-122.50804,37.77558,739.8230088
84,1145,-122.50803,37.775486,1055.312955
85,800,-122.508026,37.75967,1290.416667
86,1036,-122.50802,37.759766,960.7464607
87,2000,-122.50801,37.774982,836
88,2290,-122.507996,37.754715,715.0873362
89,1334,-122.507996,37.774982,952.023988
90,2060,-122.50799,37.774788,811.6504854
91,4520,-122.50798,37.749485,942.1091445
92,1760,-122.50798,37.774532,910.5638258
93,1168,-122.507965,37.758934,829.6232877
94,1168,-122.507965,37.759,829.6232877
95,2590,-122.50796,37.774277,608.1081081
96,921,-122.50793,37.75472,972.4936663
97,2080,-122.50793,37.77405,795.0320513
98,1475,-122.50792,37.773926,920.9039548
99,1410,-122.50791,37.773796,927.8959811
100,1373,-122.50789,37.75659,858.9463462
101,1320,-122.50788,37.75784,775
103,1275,-122.50786,37.757454,765.4901961
104,1450,-122.50785,37.75736,813.3333333
105,1195,-122.50785,37.75739,847.4198047
106,1580,-122.50784,37.772697,911.97827
107,1960,-122.507835,37.77273,789.9659864
108,1080,-122.507805,37.772316,961.4197531
109,1080,-122.5078,37.756355,860.1851852
110,1554,-122.50778,37.771835,927.2365937
111,1694,-122.507774,37.771774,850.6054703
112,903,-122.50776,37.755875,1109.265412
113,1035,-122.50776,37.75607,897.5845411
114,1759,-122.50775,37.754726,709.6835323
115,1758,-122.50775,37.75594,710.0872203
116,1011,-122.507744,37.747684,1009.231784
117,697,-122.507744,37.75559,1329.029173
118,697,-122.507744,37.75559,1329.029173
119,1353,-122.507744,37.755875,871.6432619
120,1175,-122.50773,37.755653,880.2836879
122,1418,-122.50771,37.755363,831.6878232
123,1880,-122.50771,37.764046,660.4609929
124,1640,-122.50769,37.755108,843.495935
125,1290,-122.50766,37.754585,1162.273902
126,2225,-122.50765,37.754364,739.9475655
127,1594,-122.50763,37.75417,829.1509829
128,1430,-122.50763,37.77905,938.2284382
129,1125,-122.50762,37.75411,950.5185185
130,1289,-122.507614,37.74672,950.3491078
131,1120,-122.507614,37.753788,954.7619048
132,1996.952897,-122.507614,37.77711,844.6201558
133,1475,-122.50761,37.75366,1144.180791
134,1415.339879,-122.50761,37.753853,1192.410877
135,1289,-122.5076,37.746593,950.3491078
136,1280,-122.50759,37.74653,886.4583333
137,800,-122.50758,37.753468,1146.666667
138,1365,-122.50758,37.78073,1007.326007
139,1049,-122.507576,37.753212,1028.280902
140,1720,-122.507576,37.753212,725.7751938
141,1228,-122.50757,37.753147,902.8230185
142,1750,-122.5075,37.780735,861.0312381
143,1750,-122.5075,37.780735,861.0312381
144,1275,-122.507484,37.779045,1006.535948
145,1052.683672,-122.50747,37.77713,1079.779897
146,1713,-122.50747,37.77713,932.6283324
147,1647,-122.507454,37.751472,709.9777373
148,1000,-122.50744,37.751217,1103.666667
149,1000,-122.50744,37.75128,1103.666667
150,1450,-122.50744,37.75128,1210.344828
151,800,-122.50743,37.75128,1146.666667
152,800,-122.50743,37.751347,1146.666667
154,800,-122.50742,37.751217,1146.666667
155,1415.339879,-122.50739,37.750534,1171.685584
156,1429,-122.50739,37.776188,927.2218334
157,1415.339879,-122.50739,37.776188,971.4980974
158,995,-122.507385,37.750473,1017.085427
159,1130,-122.50738,37.75041,958.9970501
160,1152,-122.50737,37.750217,940.6828704
161,800,-122.50737,37.75028,1146.666667
162,1148,-122.50737,37.75028,943.960511
163,1275,-122.50736,37.762234,868.2352941
164,1429,-122.50735,37.749897,1160.485188
165,1701,-122.50734,37.749767,626.6901822
166,1192,-122.50734,37.749832,973.1543624
167,1085,-122.50733,37.77619,1049.155146
168,1150,-122.507324,37.7498,942.3188406
169,1362,-122.50732,37.758488,751.1013216
170,1130,-122.5073,37.74948,958.9970501
171,1200,-122.50726,37.77527,1058.333333
172,2200,-122.50726,37.77527,760
173,1517,-122.507256,37.748543,751.0437267
175,1040,-122.50725,37.763763,925
176,1250,-122.50724,37.748512,928
177,1144,-122.50723,37.748222,947.2610723
178,1965,-122.50723,37.778908,784.5631891
179,1499,-122.507225,37.77881,1014.00934
180,1940,-122.50722,37.748257,797.1649485
181,1036,-122.50721,37.748127,1049.54955
182,1608,-122.50721,37.780758,988.8059701
183,2749,-122.50718,37.77714,572.935613
184,1052.683672,-122.50717,37.74755,1112.078298
185,1052.683672,-122.50717,37.747616,1112.078298
186,1305,-122.50717,37.747616,850.3192848
187,3280,-122.507164,37.778217,877.1341463
189,1186,-122.50715,37.762573,881.1129848
190,1675,-122.50715,37.777756,953.7864677
191,830,-122.50715,37.77802,1145.381526
192,1841,-122.50713,37.777756,765.0577585
193,1310,-122.50713,37.777824,979.6437659
194,1750,-122.507126,37.777493,912.9099048
195,1415.339879,-122.50712,37.746773,827.8341364
196,2000,-122.50712,37.775272,836
197,1325,-122.50711,37.746708,924.5283019
198,862,-122.50708,37.761482,1124.12993
199,2046,-122.50707,37.761486,645.1612903
200,1140,-122.507065,37.77662,1059.94152
201,1140,-122.507065,37.776653,1059.94152
202,1996.952897,-122.507065,37.776653,844.6201558
203,1415.339879,-122.50706,37.745945,859.6286196
204,1415.339879,-122.50705,37.745815,859.6286196
205,1443,-122.50705,37.77667,918.2259182
207,1350,-122.50701,37.776127,990.1234568
208,1195,-122.507,37.745167,923.2914923
209,1000,-122.507,37.758503,984.3333333
211,2300,-122.506966,37.74459,669.5663768
212,1325,-122.50695,37.759815,835.4716981
213,1325,-122.50695,37.759815,835.4716981
214,1484,-122.50694,37.744274,853.5489668
215,1415.339879,-122.50694,37.774967,924.3951594
216,2267,-122.506935,37.74421,628.2164388
217,1825,-122.506935,37.774902,837.036895
218,1308,-122.50693,37.7593,846.3302752
220,1800,-122.50691,37.74389,605.1851852
221,670,-122.50691,37.754776,1295.522388
222,1415.339879,-122.5069,37.741367,889.0679558
223,1276,-122.50688,37.779953,1005.747126
224,1276,-122.50688,37.779953,1005.747126
225,995,-122.506874,37.74329,1047.906198
226,1550,-122.506874,37.77407,929.6294624
227,1012,-122.50686,37.74297,1030.30303
228,1415.339879,-122.50686,37.758236,835.6061211
231,950,-122.506836,37.75795,977.8947368
232,726,-122.50681,37.75766,1275.94123
234,975,-122.5068,37.757435,1009.57265
236,1000,-122.5068,37.77995,1145
237,1415.339879,-122.50679,37.75731,833.2509742
238,1415.339879,-122.50679,37.7575,833.2509742
239,950,-122.50678,37.75718,977.8947368
240,1200,-122.50678,37.772842,1058.333333
241,2050,-122.50678,37.772842,806.6666667
242,1415.339879,-122.506775,37.757244,833.2509742
243,1180,-122.506775,37.772717,1062.146893
244,1600,-122.506775,37.772717,900.5785417
245,1365,-122.506775,37.772907,930.4029304
246,1033,-122.50676,37.757053,931.5908358
247,1509,-122.50676,37.77246,954.8877844
248,1587,-122.50675,37.74041,807.6034447
249,1501,-122.50675,37.772396,904.9522541
250,1420,-122.50674,37.772396,845.0704225
251,1277,-122.50672,37.74916,882.0151397
253,1310,-122.50672,37.771946,969.4656489
254,1340,-122.50672,37.77201,947.761194
256,1185,-122.506714,37.75621,872.8551336
257,1454,-122.50671,37.756145,811.0958276
258,1403,-122.50671,37.771755,843.4307436
259,850,-122.50669,37.756084,1157.647059
260,1996.952897,-122.50668,37.755764,673.5261519
261,1140,-122.50668,37.75602,907.3099415
262,1528,-122.50666,37.7557,897.2513089
263,1288,-122.50665,37.755573,1127.587992
265,1415.339879,-122.506645,37.75551,833.2509742
266,1415.339879,-122.506645,37.780804,971.4980974
267,1986,-122.50662,37.755127,677.2406848
268,1415.339879,-122.506615,37.73938,883.1800886
269,1738,-122.506584,37.75435,718.2585347
270,2450,-122.50658,37.739124,591.8378231
271,1310,-122.50656,37.751038,1196.946565
273,1408,-122.50656,37.75422,1198.626894
274,2402,-122.506546,37.753803,684.8667777
275,1625,-122.50654,37.738808,788.7179487
276,1238,-122.50653,37.753643,809.639203
277,1052.683672,-122.506516,37.753387,913.5381238
278,1988,-122.506516,37.753452,685.6136821
279,1031,-122.50651,37.74917,1054.639509
280,2361,-122.50648,37.738365,652.2671185
281,960,-122.50648,37.777176,1192.708333
282,1544,-122.50647,37.77909,1037.948402
283,2364,-122.506454,37.758526,695.8756345
284,800,-122.50644,37.752354,1146.666667
285,1240,-122.50642,37.77717,993.2795699
286,1000,-122.50641,37.780933,1145
287,1395,-122.50638,37.749187,902.9868578
288,1395,-122.50638,37.749187,902.9868578
289,1195,-122.50637,37.745434,923.2914923
290,1362,-122.50637,37.751266,1230.788057
291,1214,-122.50637,37.751328,913.2344865
292,2303,-122.50636,37.77718,770.1548705
293,1012,-122.506355,37.747314,1008.234519
294,1052.683672,-122.50635,37.76041,945.5198744
295,1415.339879,-122.506325,37.750614,1171.685584
296,1550,-122.506325,37.760403,880.1075269
297,1207,-122.50632,37.75049,961.0604805
298,1387,-122.50632,37.750744,908.1951454
299,1086,-122.5063,37.747307,997.8514426
300,1400,-122.506294,37.75036,899.7619048
301,995,-122.50629,37.750042,1017.085427
302,1415.339879,-122.506256,37.73662,740.693701
303,1640,-122.506256,37.780445,969.5121951
304,999,-122.50624,37.73654,1073.740407
305,1066,-122.50623,37.74953,1098.186366
306,1138,-122.506226,37.745453,969.5371998
307,1272,-122.506195,37.74875,885.4821803
308,1900,-122.506195,37.748943,759.5614035
309,1328,-122.50619,37.775314,956.3253012
310,1521,-122.50618,37.748493,749.0685952
311,1403,-122.50618,37.748558,868.1397006
312,1000,-122.50618,37.748753,1020.333333
313,1938,-122.50617,37.73597,852.253182
314,1272,-122.50617,37.74843,859.2767296
316,1882,-122.506165,37.735905,877.612469
317,1200,-122.50615,37.763706,870.8333333
318,3775,-122.50615,37.778828,905.9602649
319,1312,-122.506134,37.763515,843.75
320,1100,-122.50613,37.747757,1030.30303
321,1400,-122.50613,37.77873,982.1428571
322,1350,-122.50612,37.74766,902.2222222
323,1415.339879,-122.50611,37.74753,827.8341364
324,1000,-122.5061,37.74766,1020.333333
325,1374,-122.506096,37.7475,886.4628821
326,3600,-122.506096,37.77807,734.3518519
327,2300,-122.506096,37.7783,789.8550725
328,2300,-122.506096,37.7783,789.8550725
329,2090,-122.50608,37.77807,835.8851675
330,925,-122.506065,37.762466,1004.324324
331,2200,-122.506065,37.77774,825.7575758
332,1415.339879,-122.50606,37.747013,827.8341364
334,1529,-122.50605,37.746883,745.1493351
335,1405,-122.50605,37.74695,866.9039146
336,2450,-122.50605,37.777508,735.3741497
337,1250,-122.50604,37.746758,907.7333333
338,1250,-122.50604,37.74682,907.7333333
339,1056,-122.50603,37.761944,910.9848485
340,1056,-122.50603,37.761944,910.9848485
341,1187,-122.50602,37.746246,955.9112609
342,1180,-122.50602,37.746307,961.5819209
343,2067,-122.50601,37.74618,725.9313014
344,1325,-122.506004,37.746246,924.5283019
345,1169,-122.506,37.761276,865.6971771
346,1290,-122.506,37.776817,994.8320413
347,1290,-122.506,37.776817,994.8320413
349,1534,-122.50599,37.74599,777.9226423
350,1243,-122.50599,37.761402,894.3416466
352,718,-122.50598,37.76134,1290.157846
353,1950,-122.505974,37.77158,777.7777778
354,1700,-122.50597,37.76105,840.1960784
356,1200,-122.50596,37.7764,1113.888889
357,1277,-122.50596,37.7764,1046.724093
358,2393,-122.50595,37.735577,629.6152668
359,850,-122.50595,37.754807,1157.647059
360,1052.683672,-122.50595,37.754807,945.2032234
361,850,-122.50595,37.754818,1157.647059
362,1483,-122.50595,37.754818,924.4774107
364,2430.815208,-122.50595,37.776176,733.7730408
365,1195,-122.50594,37.745148,923.2914923
366,1195,-122.50594,37.745148,923.2914923
367,1468,-122.505936,37.74502,828.7920073
368,1195,-122.505936,37.745087,923.2914923
369,1324,-122.505936,37.756687,857.75428
370,1112,-122.50593,37.745182,1049.160671
371,1189,-122.50592,37.74502,927.9506588
372,2115,-122.50591,37.744896,673.3648542
373,2065,-122.50591,37.775665,809.68523
374,1577,-122.50591,37.775795,913.7131685
375,1307,-122.50591,37.775856,971.6908952
377,2110,-122.50591,37.775856,792.4170616
378,1162,-122.505905,37.74483,949.5123351
379,1415.339879,-122.505905,37.775536,924.3951594
381,1052.683672,-122.5059,37.744766,917.6545868
382,850,-122.5059,37.75482,1157.647059
383,1125,-122.5059,37.76005,884.7407407
384,684,-122.50589,37.759827,1354.288499
386,1030,-122.50588,37.75986,966.3430421
388,1415.339879,-122.505875,37.73984,883.1800886
389,1195,-122.505875,37.759605,838.4937238
390,1045,-122.505875,37.75973,952.4720893
392,1436,-122.50587,37.744064,876.2766945
393,2193,-122.50587,37.74413,649.4148047
394,2190,-122.50587,37.74413,650.304414
396,1290,-122.50586,37.759605,858.1395349
397,1794,-122.50585,37.774757,893.3067633
398,1200,-122.505844,37.75935,835
399,850,-122.50584,37.754814,1157.647059
400,1030,-122.50584,37.75922,966.3430421
402,2125,-122.50583,37.7745,773.4901961
403,1250,-122.50583,37.77463,1016
404,1030,-122.50581,37.7589,934.3042071
405,995,-122.505806,37.743286,1047.906198
407,1725,-122.5058,37.74309,631.4975845
408,1400,-122.5058,37.743156,886.9047619
409,975,-122.5058,37.77431,1174.358974
410,1575,-122.50579,37.77399,914.8734392
411,1826,-122.50579,37.77418,809.1962395
412,1624,-122.50578,37.737995,789.2036125
413,850,-122.50578,37.754814,1157.647059
414,1860,-122.505775,37.773926,751.7921147
415,850,-122.50577,37.752953,1157.647059
416,2021,-122.50576,37.742836,795.3996371
417,1025,-122.505745,37.742577,1017.235772
418,1052.683672,-122.50573,37.757675,914.1714258
419,1175,-122.50573,37.773106,1066.666667
420,1052.683672,-122.505714,37.75729,914.1714258
421,1000,-122.50571,37.757225,962.3333333
422,1415.339879,-122.5057,37.7571,886.7128089
423,1151,-122.50567,37.74128,944.106574
424,1125,-122.50567,37.741344,1022.222222
425,1470,-122.50567,37.77228,924.0362812
426,1971,-122.50567,37.772346,785.5572467
427,914,-122.50566,37.741344,1140.773158
428,1011,-122.50565,37.73705,1060.995714
429,1427,-122.50565,37.73705,734.6414389
430,1200,-122.50565,37.74109,995.8333333
431,1550,-122.50565,37.741283,789.2473118
432,3360,-122.505646,37.740963,598.2142857
433,898,-122.505646,37.741154,1095.025984
434,1000,-122.505646,37.74122,1042.666667
435,1950,-122.50564,37.7409,753.5897436
436,1391,-122.50564,37.75645,902.2286125
437,2994,-122.50563,37.75626,614.0057894
438,2994,-122.50563,37.75626,614.0057894
439,2994,-122.50563,37.75626,614.0057894
440,900,-122.50563,37.75632,1112.962963
441,1460,-122.50563,37.75632,859.5890411
442,1162,-122.50562,37.740837,935.1692484
443,1125,-122.505615,37.740707,1022.222222
444,1052.683672,-122.505615,37.755875,914.1714258
445,800,-122.50561,37.73706,1071.666667
446,1415.339879,-122.50561,37.73706,740.693701
447,1842,-122.5056,37.755684,754.6145494
448,759,-122.50557,37.75543,1233.640755
449,920,-122.505554,37.737064,1165.942029
450,1414,-122.50555,37.73955,884.0169731
451,878,-122.50554,37.739426,1044.039484
452,878,-122.50554,37.73949,1044.039484
453,1052.683672,-122.50553,37.777206,1054.447817
454,850,-122.505516,37.754524,1157.647059
455,1198,-122.50551,37.749214,912.3539232
456,850,-122.50551,37.75433,1157.647059
457,850,-122.5055,37.754204,1157.647059
458,1014,-122.50549,37.738853,1018.408941
459,850,-122.50549,37.75414,1157.647059
460,878,-122.505486,37.738724,1044.039484
461,1001,-122.505486,37.73892,1031.635032
462,1052.683672,-122.505486,37.75401,881.8730242
463,1635,-122.505486,37.754204,846.0754332
464,1217,-122.50548,37.753944,898.9317995
465,3133,-122.50547,37.738728,605.9155229
466,956,-122.50547,37.749226,1067.294282
467,950,-122.50547,37.75401,977.1929825
468,1022,-122.50546,37.738407,1010.437052
470,1052.683672,-122.505455,37.73828,1005.366913
471,878,-122.505455,37.738342,1044.039484
472,1130,-122.505455,37.753628,879.6460177
473,903,-122.50545,37.738342,996.6777409
474,1600,-122.50545,37.738342,801.0416667
475,850,-122.50545,37.753433,1157.647059
476,970,-122.50544,37.77721,1180.412371
477,1862,-122.50543,37.753468,746.50913
479,1200,-122.50542,37.73793,808.3333333
480,960,-122.5054,37.737568,1075.694444
481,1133,-122.505394,37.73744,856.1341571
482,1209,-122.50538,37.747356,904.0529363
483,1586,-122.50538,37.747356,701.5552753
484,1419,-122.50535,37.752014,886.774724
485,1356,-122.50535,37.76231,816.3716814
486,1356,-122.50535,37.76231,816.3716814
487,1053,-122.50534,37.75208,1021.209243
489,1546,-122.505325,37.736668,733.0746011
491,974,-122.50526,37.750946,1039.014374
492,800,-122.50525,37.750786,1146.666667
493,800,-122.50525,37.750786,1146.666667
494,2020,-122.50525,37.77536,813.6963696
495,835,-122.50523,37.75034,1331.337325
496,1257,-122.50523,37.750595,929.1964996
497,1870,-122.505226,37.78094,753.1932264
498,1870,-122.505226,37.78094,753.1932264
499,1184,-122.5052,37.749893,979.7297297
500,969,-122.50517,37.74951,1052.975576
501,1300,-122.505135,37.74899,840.7692308
502,1214,-122.50511,37.748863,900.3294893
503,1310,-122.505104,37.779278,979.6437659
504,1310,-122.505104,37.779278,979.6437659
505,1415.339879,-122.5051,37.74867,898.4885434
506,1000,-122.50509,37.763653,917.6666667
507,1052.683672,-122.50509,37.77927,1079.779897
508,1129,-122.50509,37.77927,1023.029229
509,1214,-122.50507,37.74835,900.3294893
511,1408,-122.50505,37.763176,854.6401515
512,1634,-122.50504,37.747707,652.3867809
514,1290,-122.50504,37.77838,994.8320413
515,1052.683672,-122.505035,37.778515,1087.696172
516,1185,-122.50503,37.747646,922.3628692
517,1185,-122.50503,37.74771,922.3628692
518,1185,-122.50502,37.74758,922.3628692
519,1465,-122.50502,37.762894,942.5483504
520,1465,-122.50502,37.77812,961.3196815
521,1975,-122.50502,37.77825,846.9198312
522,1370,-122.505005,37.773487,863.7469586
524,1290,-122.505005,37.77792,994.8320413
525,1415.339879,-122.505005,37.77812,971.4980974
526,1292,-122.505,37.746994,832.0433437
527,1537,-122.505,37.762608,954.7820429
528,1294,-122.50499,37.74693,830.7573416
