old_index,sf,longitude,latitude,mean_hood_ppsf
0,2691,-122.50965,37.78028,708.0442046
1,2437,-122.50929,37.762608,720.5559674
2,2597,-122.50929,37.762608,707.338594
3,1312,-122.50924,37.77733,1004.622077
4,3307,-122.50919,37.776695,683.0856027
6,1168,-122.509186,37.761005,903.4795764
8,873,-122.50908,37.75948,1077.477477
10,1427,-122.509056,37.774548,961.774075
11,1427,-122.509056,37.774548,961.774075
12,1328,-122.509056,37.774612,1025.037184
13,2200,-122.50905,37.774677,775.3144654
14,1368,-122.50904,37.774418,961.774075
16,1055,-122.50903,37.77442,1073.899371
18,1055,-122.50902,37.774292,1073.899371
19,1275,-122.50902,37.774292,1020.099119
20,1523,-122.50901,37.773907,958.0217489
21,3172,-122.50901,37.77397,746.9706984
22,1065,-122.508995,37.773907,1073.899371
24,1180,-122.508965,37.77352,1020.099119
25,1180,-122.508965,37.77352,1020.099119
26,1125,-122.50884,37.75612,837.6585928
27,1965,-122.508835,37.771725,770.5069124
28,1832,-122.50879,37.755703,768.9282203
29,1188,-122.50877,37.755543,864.8272018
30,1843,-122.508766,37.779903,906.9139845
31,1512,-122.50874,37.779892,893.9537418
32,1134,-122.50868,37.779003,1144.485521
33,1134,-122.50868,37.779003,1144.485521
34,1702,-122.508606,37.778996,949.8170828
35,1012,-122.50857,37.775208,1073.899371
36,1372,-122.50857,37.779007,1019.057702
37,912,-122.50856,37.75384,1025.375626
38,1427,-122.50856,37.75384,831.6878232
39,1541,-122.50856,37.76217,809.3562409
40,1630,-122.50852,37.776123,934.5931959
41,1125,-122.50852,37.779907,1099.685804
42,1055,-122.50851,37.753426,1043.84
43,1002,-122.50845,37.75845,888.3076923
44,1630,-122.50839,37.77613,934.5931959
45,1719,-122.50837,37.752396,694.2932043
47,1579,-122.50832,37.779274,949.8170828
48,1475,-122.508316,37.77918,1011.108592
49,961,-122.50831,37.7636,951.0309278
50,1100,-122.50831,37.76388,904.8196423
51,1025,-122.50831,37.775208,1073.899371
52,2054,-122.50831,37.776146,790.4689864
53,1912,-122.508286,37.756584,768.9282203
54,1680,-122.508286,37.778763,949.8170828
55,2191,-122.508286,37.778763,804.9924357
56,1165,-122.50827,37.758446,839.3343419
58,995,-122.50826,37.75163,1036.05547
59,1157,-122.50826,37.76297,893.7751626
60,905,-122.508255,37.762936,1077.477477
61,2300,-122.508255,37.7783,806.1836641
64,2205,-122.50823,37.777973,806.1836641
65,1494,-122.50822,37.777775,985.4542647
66,1494,-122.50822,37.777775,985.4542647
67,1494,-122.5082,37.777576,985.4542647
68,1055,-122.508194,37.777676,1073.899371
69,743,-122.50818,37.756588,1197.022767
71,2100,-122.50815,37.761562,660.6558679
72,1318,-122.50813,37.761116,910.9816972
73,3450,-122.50813,37.776585,873.7598704
74,995,-122.508125,37.750565,946.4615385
76,1000,-122.50812,37.75658,888.3076923
77,1055,-122.50812,37.75658,888.3076923
78,1000,-122.50812,37.75658,888.3076923
79,920,-122.50811,37.761055,951.0309278
80,1930,-122.5081,37.776398,791.4167051
81,1025,-122.508095,37.750313,982.9372334
82,1160,-122.508064,37.756584,837.6585928
83,2260,-122.50804,37.77558,790.4689864
84,1145,-122.50803,37.775486,1010.914052
85,800,-122.508026,37.75967,1164.127122
86,1036,-122.50802,37.759766,888.3076923
87,2000,-122.50801,37.774982,760.2201258
88,2290,-122.507996,37.754715,631.8020449
89,1334,-122.507996,37.774982,1025.037184
90,2060,-122.50799,37.774788,760.2201258
91,4520,-122.50798,37.749485,824.7307539
92,1760,-122.50798,37.774532,951.846565
93,1168,-122.507965,37.758934,858.8571429
94,1168,-122.507965,37.759,858.8571429
95,2590,-122.50796,37.774277,619.5096368
96,921,-122.50793,37.75472,895.6666667
97,2080,-122.50793,37.77405,775.3144654
98,1475,-122.50792,37.773926,930.4211643
99,1410,-122.50791,37.773796,998.166099
100,1373,-122.50789,37.75659,1169.824399
101,1320,-122.50788,37.75784,838.1228579
103,1275,-122.50786,37.757454,838.1228579
104,1450,-122.50785,37.75736,875.4516984
105,1195,-122.50785,37.75739,845.5329808
106,1580,-122.50784,37.772697,937.3653415
107,1960,-122.507835,37.77273,770.5069124
108,1080,-122.507805,37.772316,1057.142857
109,1080,-122.5078,37.756355,876.0099441
110,1554,-122.50778,37.771835,937.3653415
111,1694,-122.507774,37.771774,937.3653415
112,903,-122.50776,37.755875,936.8067227
113,1035,-122.50776,37.75607,891.84
114,1759,-122.50775,37.754726,770.5099778
115,1758,-122.50775,37.75594,768.9282203
116,1011,-122.507744,37.747684,1043.84
117,697,-122.507744,37.75559,1197.022767
118,697,-122.507744,37.75559,1197.022767
119,1353,-122.507744,37.755875,1169.824399
120,1175,-122.50773,37.755653,876.0099441
121,1236,-122.50772,37.75527,814.6843674
122,1418,-122.50771,37.755363,1106.028618
123,1880,-122.50771,37.764046,672.7272727
124,1640,-122.50769,37.755108,1025.883838
125,1290,-122.50766,37.754585,1108.974359
126,2225,-122.50765,37.754364,724.9922982
127,1594,-122.50763,37.75417,829.5855379
128,1430,-122.50763,37.77905,1011.108592
129,1125,-122.50762,37.75411,906.463642
130,1289,-122.507614,37.74672,919.1063174
131,1120,-122.507614,37.753788,1017.117958
132,2018,-122.507614,37.77711,806.1836641
133,1475,-122.50761,37.75366,829.5855379
134,1427,-122.50761,37.753853,829.5855379
135,1289,-122.5076,37.746593,919.1063174
136,1280,-122.50759,37.74653,919.1063174
137,800,-122.50758,37.753468,1262.165717
138,1365,-122.50758,37.78073,994.7447447
139,1049,-122.507576,37.753212,1043.84
140,1720,-122.507576,37.753212,804.9261084
141,1228,-122.50757,37.753147,866.8500688
142,1750,-122.5075,37.780735,935.5226898
143,1750,-122.5075,37.780735,935.5226898
144,1275,-122.507484,37.779045,977.3917838
145,1055,-122.50747,37.77713,1073.899371
146,1713,-122.50747,37.77713,949.8170828
147,1647,-122.507454,37.751472,1086.908691
148,1000,-122.50744,37.751217,1036.05547
149,1000,-122.50744,37.75128,1036.05547
150,1450,-122.50744,37.75128,1085.371481
151,800,-122.50743,37.75128,1262.165717
152,800,-122.50743,37.751347,1262.165717
154,800,-122.50742,37.751217,1262.165717
155,1427,-122.50739,37.750534,766.6743596
156,1429,-122.50739,37.776188,1083.75
157,1427,-122.50739,37.776188,1083.75
158,995,-122.507385,37.750473,1038.844302
159,1130,-122.50738,37.75041,1075.945345
160,1152,-122.50737,37.750217,1043.84
161,800,-122.50737,37.75028,1262.165717
162,1148,-122.50737,37.75028,1043.84
163,1275,-122.50736,37.762234,910.9816972
164,1429,-122.50735,37.749897,766.6743596
165,1701,-122.50734,37.749767,698.1848881
166,1192,-122.50734,37.749832,907.4435461
167,1085,-122.50733,37.77619,1063.049853
168,1150,-122.507324,37.7498,1043.84
169,1362,-122.50732,37.758488,797.1922788
170,1130,-122.5073,37.74948,1035.03091
171,1200,-122.50726,37.77527,1050.838574
172,2200,-122.50726,37.77527,760.2201258
173,1517,-122.507256,37.748543,818.6654844
175,1040,-122.50725,37.763763,903.4795764
176,1250,-122.50724,37.748512,923.6991103
177,1144,-122.50723,37.748222,937.6982982
178,1965,-122.50723,37.778908,804.620462
179,1499,-122.507225,37.77881,1011.108592
180,1940,-122.50722,37.748257,699.001185
181,1036,-122.50721,37.748127,1071.711932
182,1608,-122.50721,37.780758,935.5226898
183,2749,-122.50718,37.77714,663.7223975
184,1055,-122.50717,37.74755,1006.902502
185,1055,-122.50717,37.747616,1006.902502
186,1305,-122.50717,37.747616,895.7260556
187,3280,-122.507164,37.778217,683.0856027
189,1186,-122.50715,37.762573,910.6936416
190,1675,-122.50715,37.777756,949.8170828
191,830,-122.50715,37.77802,1156.350482
192,1841,-122.50713,37.777756,949.8170828
193,1310,-122.50713,37.777824,1004.622077
194,1750,-122.507126,37.777493,949.8170828
195,1427,-122.50712,37.746773,766.6743596
196,2000,-122.50712,37.775272,760.2201258
197,1325,-122.50711,37.746708,919.1063174
198,862,-122.50708,37.761482,1220.740741
199,2046,-122.50707,37.761486,722.6045527
200,1140,-122.507065,37.77662,1070.898843
201,1140,-122.507065,37.776653,1070.898843
202,2018,-122.507065,37.776653,833.3582424
203,1427,-122.50706,37.745945,766.6743596
204,1427,-122.50705,37.745815,766.6743596
205,1443,-122.50705,37.77667,1010.568685
207,1350,-122.50701,37.776127,1083.75
208,1195,-122.507,37.745167,934.1736695
209,1000,-122.507,37.758503,897.1698113
211,2300,-122.506966,37.74459,736.7701464
212,1325,-122.50695,37.759815,809.4879518
213,1325,-122.50695,37.759815,809.4879518
214,1484,-122.50694,37.744274,842.236872
215,1427,-122.50694,37.774967,1025.037184
216,2267,-122.506935,37.74421,736.7701464
217,1825,-122.506935,37.774902,870.6499496
218,1308,-122.50693,37.7593,855.0684932
220,1800,-122.50691,37.74389,739.3715342
221,670,-122.50691,37.754776,1300
222,1427,-122.5069,37.741367,894.9367089
223,1276,-122.50688,37.779953,977.3917838
224,1276,-122.50688,37.779953,977.3917838
225,995,-122.506874,37.74329,996.1190168
226,1550,-122.506874,37.77407,937.3653415
227,1012,-122.50686,37.74297,1015.448986
228,1427,-122.50686,37.758236,797.1922788
231,950,-122.506836,37.75795,960.1286174
232,726,-122.50681,37.75766,1197.022767
234,975,-122.5068,37.757435,975.5417957
236,1000,-122.5068,37.77995,1057.142857
237,1427,-122.50679,37.75731,843.0262481
238,1427,-122.50679,37.7575,843.0262481
239,950,-122.50678,37.75718,960.1286174
240,1200,-122.50678,37.772842,991.5611814
241,2050,-122.50678,37.772842,770.5069124
242,1427,-122.506775,37.757244,843.0262481
243,1180,-122.506775,37.772717,991.5611814
244,1600,-122.506775,37.772717,937.3653415
245,1365,-122.506775,37.772907,950.5048018
246,1033,-122.50676,37.757053,915.4302671
247,1509,-122.50676,37.77246,878.2596218
248,1587,-122.50675,37.74041,805.8962772
249,1501,-122.50675,37.772396,890.9687988
250,1420,-122.50674,37.772396,950.5048018
251,1277,-122.50672,37.74916,923.6991103
253,1310,-122.50672,37.771946,991.5611814
254,1340,-122.50672,37.77201,991.5611814
256,1185,-122.506714,37.75621,864.8272018
257,1454,-122.50671,37.756145,950.7628294
258,1403,-122.50671,37.771755,950.5048018
259,850,-122.50669,37.756084,1045.217391
260,2018,-122.50668,37.755764,831.0580205
261,1140,-122.50668,37.75602,893.2692308
262,1528,-122.50666,37.7557,950.7628294
263,1288,-122.50665,37.755573,852.6026026
265,1427,-122.506645,37.75551,763.8112279
266,1427,-122.506645,37.780804,1045.05632
267,1986,-122.50662,37.755127,822.5806452
268,1427,-122.506615,37.73938,898.2035928
269,1738,-122.506584,37.75435,716.4721638
270,2450,-122.50658,37.739124,558.3684951
271,1310,-122.50656,37.751038,979.1783905
273,1408,-122.50656,37.75422,1071.462601
274,2402,-122.506546,37.753803,631.8020449
275,1625,-122.50654,37.738808,738.5251251
276,1238,-122.50653,37.753643,797.1922788
277,1055,-122.506516,37.753387,930.0319489
278,1988,-122.506516,37.753452,830.6322351
279,1031,-122.50651,37.74917,993.0513595
280,2361,-122.50648,37.738365,558.3684951
281,960,-122.50648,37.777176,1020.602219
282,1544,-122.50647,37.77909,935.2606122
283,2364,-122.506454,37.758526,676.5297328
284,800,-122.50644,37.752354,1262.165717
285,1240,-122.50642,37.77717,1046.006944
286,1000,-122.50641,37.780933,1057.142857
287,1395,-122.50638,37.749187,898.3133708
288,1395,-122.50638,37.749187,898.3133708
289,1195,-122.50637,37.745434,854.7486034
290,1362,-122.50637,37.751266,1164.3238
291,1214,-122.50637,37.751328,974.6049661
292,2303,-122.50636,37.77718,833.3582424
293,1012,-122.506355,37.747314,963.2331485
294,1055,-122.50635,37.76041,904.8196423
295,1427,-122.506325,37.750614,794.1747573
296,1550,-122.506325,37.760403,837.631756
297,1207,-122.50632,37.75049,963.166575
298,1387,-122.50632,37.750744,893.2171071
299,1086,-122.5063,37.747307,949.2732127
300,1400,-122.506294,37.75036,882.6986967
301,995,-122.50629,37.750042,1041.187739
302,1427,-122.506256,37.73662,832.1759259
303,1640,-122.506256,37.780445,869.3856394
304,999,-122.50624,37.73654,998.4639017
305,1066,-122.50623,37.74953,1043.84
306,1138,-122.506226,37.745453,854.7486034
307,1272,-122.506195,37.74875,883.3687566
308,1900,-122.506195,37.748943,719.4847856
309,1328,-122.50619,37.775314,1025.037184
310,1521,-122.50618,37.748493,818.6654844
311,1403,-122.50618,37.748558,872.6647001
312,1000,-122.50618,37.748753,1035.170781
313,1938,-122.50617,37.73597,753.5387177
314,1272,-122.50617,37.74843,842.9168845
315,5000,-122.50617,37.77931,735.1407716
316,1882,-122.506165,37.735905,778.750952
317,1200,-122.50615,37.763706,888.1325836
318,3775,-122.50615,37.778828,868.1140911
319,1312,-122.506134,37.763515,889.3617021
320,1100,-122.50613,37.747757,989.8904802
321,1400,-122.50613,37.77873,994.7447447
322,1350,-122.50612,37.74766,893.2171071
323,1427,-122.50611,37.74753,794.1747573
324,1000,-122.5061,37.74766,1010.960671
325,1374,-122.506096,37.7475,893.2171071
326,3600,-122.506096,37.77807,884.109589
327,2300,-122.506096,37.7783,806.1836641
328,2300,-122.506096,37.7783,806.1836641
329,2090,-122.50608,37.77807,806.1836641
330,925,-122.506065,37.762466,949.5176849
331,2200,-122.506065,37.77774,806.1836641
332,1427,-122.50606,37.747013,801.2924071
334,1529,-122.50605,37.746883,717.9378829
335,1405,-122.50605,37.74695,957.6271186
336,2450,-122.50605,37.777508,833.3582424
337,1250,-122.50604,37.746758,919.3590754
338,1250,-122.50604,37.74682,895.7260556
339,1056,-122.50603,37.761944,904.8196423
340,1056,-122.50603,37.761944,904.8196423
341,1187,-122.50602,37.746246,889.5058301
342,1180,-122.50602,37.746307,889.5058301
343,2067,-122.50601,37.74618,657.8423871
344,1325,-122.506004,37.746246,879.9579722
345,1169,-122.506,37.761276,879.9652073
346,1290,-122.506,37.776817,1032.818533
347,1290,-122.506,37.776817,1032.818533
349,1534,-122.50599,37.74599,686.2455102
350,1243,-122.50599,37.761402,889.3617021
352,718,-122.50598,37.76134,1164.127122
353,1950,-122.505974,37.77158,799.5125914
354,1700,-122.50597,37.76105,774.6346946
355,450,-122.50597,37.776497,825.0345781
356,1200,-122.50596,37.7764,1103.622578
357,1277,-122.50596,37.7764,1075.461305
358,2393,-122.50595,37.735577,558.3684951
359,850,-122.50595,37.754807,1045.217391
360,1055,-122.50595,37.754807,926.1722647
361,850,-122.50595,37.754818,1045.217391
362,1483,-122.50595,37.754818,842.5636445
364,2613,-122.50595,37.776176,619.5096368
365,1195,-122.50594,37.745148,852.5033829
366,1195,-122.50594,37.745148,852.5033829
367,1468,-122.505936,37.74502,784.359093
368,1195,-122.505936,37.745087,852.5033829
369,1324,-122.505936,37.756687,883.5954001
370,1112,-122.50593,37.745182,881.7396485
371,1189,-122.50592,37.74502,852.5033829
372,2115,-122.50591,37.744896,697.0918287
373,2065,-122.50591,37.775665,769.1472868
374,1577,-122.50591,37.775795,895.2737872
375,1307,-122.50591,37.775856,1025.037184
376,1963,-122.50591,37.775856,769.1472868
377,2110,-122.50591,37.775856,798.6567164
378,1162,-122.505905,37.74483,934.1736695
379,1427,-122.505905,37.775536,1025.037184
381,1055,-122.5059,37.744766,959.7806216
382,850,-122.5059,37.75482,1045.217391
383,1125,-122.5059,37.76005,866.4723032
384,684,-122.50589,37.759827,1264.282397
386,1030,-122.50588,37.75986,897.1698113
388,1427,-122.505875,37.73984,905.3254438
389,1195,-122.505875,37.759605,866.4723032
390,1045,-122.505875,37.75973,897.1698113
392,1436,-122.50587,37.744064,914.0055318
393,2193,-122.50587,37.74413,697.0918287
394,2190,-122.50587,37.74413,697.0918287
396,1290,-122.50586,37.759605,876.7086572
397,1794,-122.50585,37.774757,809.8525844
398,1200,-122.505844,37.75935,866.4723032
399,850,-122.50584,37.754814,1045.217391
400,1030,-122.50584,37.75922,897.1698113
402,2125,-122.50583,37.7745,769.1472868
403,1250,-122.50583,37.77463,983.0065359
404,1030,-122.50581,37.7589,876.7295597
405,995,-122.505806,37.743286,996.1190168
407,1725,-122.5058,37.74309,735.9038143
408,1400,-122.5058,37.743156,886.5853659
409,975,-122.5058,37.77431,1020.602219
410,1575,-122.50579,37.77399,895.2737872
411,1826,-122.50579,37.77418,870.6499496
412,1624,-122.50578,37.737995,759.6527302
413,850,-122.50578,37.754814,1045.217391
414,1860,-122.505775,37.773926,849.9867778
415,850,-122.50577,37.752953,1045.217391
416,2021,-122.50576,37.742836,707.1755586
417,1025,-122.505745,37.742577,932.7325394
418,1055,-122.50573,37.757675,903.4795764
419,1175,-122.50573,37.773106,916.838843
420,1055,-122.505714,37.75729,963.6913767
421,1000,-122.50571,37.757225,963.6913767
422,1427,-122.5057,37.7571,818.2720953
423,1151,-122.50567,37.74128,917.0182841
424,1125,-122.50567,37.741344,889.9408284
425,1470,-122.50567,37.77228,890.9687988
426,1971,-122.50567,37.772346,806.430338
427,914,-122.50566,37.741344,1106.082549
428,1011,-122.50565,37.73705,1036.229659
429,1427,-122.50565,37.73705,832.1759259
430,1200,-122.50565,37.74109,917.0182841
431,1550,-122.50565,37.741283,810.84172
432,3360,-122.505646,37.740963,644.0989094
433,898,-122.505646,37.741154,1106.082549
434,1000,-122.505646,37.74122,1042.289348
435,1950,-122.50564,37.7409,691.9379322
436,1391,-122.50564,37.75645,883.5954001
437,2994,-122.50563,37.75626,589.8810912
438,2994,-122.50563,37.75626,589.8810912
439,2994,-122.50563,37.75626,589.8810912
440,900,-122.50563,37.75632,1077.477477
441,1460,-122.50563,37.75632,831.6878232
442,1162,-122.50562,37.740837,929.7520661
443,1125,-122.505615,37.740707,978.2907392
444,1055,-122.505615,37.755875,961.2598425
445,800,-122.50561,37.73706,1188.323917
446,1427,-122.50561,37.73706,832.1759259
447,1842,-122.5056,37.755684,813.6407301
448,759,-122.50557,37.75543,1197.022767
449,920,-122.505554,37.737064,1082.408342
450,1414,-122.50555,37.73955,910.9806799
451,878,-122.50554,37.739426,1134.333333
452,878,-122.50554,37.73949,1134.333333
453,1055,-122.50553,37.777206,1073.899371
454,850,-122.505516,37.754524,1045.217391
455,1198,-122.50551,37.749214,922.2754154
456,850,-122.50551,37.75433,1045.217391
457,850,-122.5055,37.754204,1045.217391
458,1014,-122.50549,37.738853,1036.229659
459,850,-122.50549,37.75414,1045.217391
460,878,-122.505486,37.738724,1045.914922
461,1001,-122.505486,37.73892,1036.229659
462,1055,-122.505486,37.75401,926.1722647
463,1635,-122.505486,37.754204,826.3157895
464,1217,-122.50548,37.753944,800.5668642
465,3133,-122.50547,37.738728,588.9653616
466,956,-122.50547,37.749226,964.6827992
467,950,-122.50547,37.75401,947.7884935
468,1022,-122.50546,37.738407,1036.229659
470,1055,-122.505455,37.73828,891.5627718
471,878,-122.505455,37.738342,1045.914922
472,1130,-122.505455,37.753628,866.7692308
473,903,-122.50545,37.738342,1045.914922
474,1600,-122.50545,37.738342,738.5251251
