,old_index,sf,longitude,latitude,mean_hood_ppsf
0,0,2691,-122.50965,37.78028,708.0442045746595
1,1,2437,-122.50929,37.762608,720.5559673832468
2,2,2597,-122.50929,37.762608,707.338593974175
3,3,1312,-122.50923999999999,37.77733,1004.6220772158782
4,4,3307,-122.50918999999999,37.776695000000004,683.0856026906802
5,6,1168,-122.50918600000001,37.761005,903.4795763993948
6,8,873,-122.50908000000001,37.759479999999996,1077.4774774774774
7,10,1427,-122.509056,37.774547999999996,961.7740749816221
8,11,1427,-122.509056,37.774547999999996,961.7740749816221
9,12,1328,-122.509056,37.774612,1025.0371839365393
10,13,2200,-122.50905,37.774677000000004,775.3144654088051
11,14,1368,-122.50903999999998,37.774418,961.7740749816221
12,16,1055,-122.50903000000001,37.77442,1073.8993710691823
13,18,1055,-122.50901999999999,37.774291999999996,1073.8993710691823
14,19,1275,-122.50901999999999,37.774291999999996,1020.0991189427313
15,20,1523,-122.50901,37.773907,958.0217488789237
16,21,3172,-122.50901,37.77397,746.9706983917163
17,22,1065,-122.508995,37.773907,1073.8993710691823
18,24,1180,-122.50896499999999,37.77352,1020.0991189427313
19,25,1180,-122.50896499999999,37.77352,1020.0991189427313
20,26,1125,-122.50883999999999,37.75612,837.6585928489043
21,27,1965,-122.508835,37.771725,770.5069124423964
22,28,1832,-122.50878999999999,37.755703000000004,768.9282202556539
23,29,1188,-122.50877,37.755542999999996,864.8272017837236
24,30,1843,-122.508766,37.779903000000004,906.9139844617092
25,31,1512,-122.50873999999999,37.779892,893.9537417763158
26,32,1134,-122.50868,37.779003,1144.4855206407885
27,33,1134,-122.50868,37.779003,1144.4855206407885
28,34,1702,-122.508606,37.778996,949.8170828378913
29,35,1012,-122.50856999999999,37.775208,1073.8993710691823
30,36,1372,-122.50856999999999,37.779007,1019.0577024880889
31,37,912,-122.50856,37.753840000000004,1025.3756260434056
32,38,1427,-122.50856,37.753840000000004,831.6878232251997
33,39,1541,-122.50856,37.762170000000005,809.3562409439039
34,40,1630,-122.50851999999999,37.776123,934.5931958762886
35,41,1125,-122.50851999999999,37.779907,1099.685804055984
36,42,1055,-122.50851000000002,37.753426,1043.84
37,43,1002,-122.50845,37.75845,888.3076923076924
38,44,1630,-122.50838999999999,37.77613,934.5931958762886
39,45,1719,-122.50837,37.752396000000005,694.2932042750555
40,47,1579,-122.50832,37.779274,949.8170828378913
41,48,1475,-122.508316,37.77918,1011.1085921559738
42,49,961,-122.50831000000001,37.7636,951.0309278350514
43,50,1100,-122.50831000000001,37.76388,904.8196423158532
44,51,1025,-122.50831000000001,37.775208,1073.8993710691823
45,52,2054,-122.50831000000001,37.776146000000004,790.4689863842663
46,53,1912,-122.50828600000001,37.756584000000004,768.9282202556539
47,54,1680,-122.50828600000001,37.778763,949.8170828378913
48,55,2191,-122.50828600000001,37.778763,804.9924357034796
49,56,1165,-122.50827,37.758446,839.3343419062027
50,58,995,-122.50826,37.75163,1036.055469953775
51,59,1157,-122.50826,37.76297,893.7751625890369
52,60,905,-122.508255,37.762935999999996,1077.4774774774774
53,61,2300,-122.508255,37.7783,806.1836640516843
54,64,2205,-122.50823000000001,37.777972999999996,806.1836640516843
55,65,1494,-122.50822,37.777775,985.4542646709432
56,66,1494,-122.50822,37.777775,985.4542646709432
57,67,1494,-122.5082,37.777576,985.4542646709432
58,68,1055,-122.50819399999999,37.777676,1073.8993710691823
59,69,743,-122.50818000000001,37.756588,1197.0227670753065
60,71,2100,-122.50815,37.761562,660.6558678735906
61,72,1318,-122.50813000000001,37.761115999999994,910.981697171381
62,73,3450,-122.50813000000001,37.776585,873.7598704191132
63,74,995,-122.508125,37.750565,946.4615384615386
64,76,1000,-122.50811999999999,37.75658,888.3076923076924
65,77,1055,-122.50811999999999,37.75658,888.3076923076924
66,78,1000,-122.50811999999999,37.75658,888.3076923076924
67,79,920,-122.50811000000002,37.761055,951.0309278350514
68,80,1930,-122.5081,37.776398,791.4167051222889
69,81,1025,-122.508095,37.750313,982.9372333942717
70,82,1160,-122.50806399999999,37.756584000000004,837.6585928489043
71,83,2260,-122.50804,37.77558,790.4689863842663
72,84,1145,-122.50803,37.775486,1010.9140518417462
73,85,800,-122.508026,37.75967,1164.1271223334786
74,86,1036,-122.50802,37.759766,888.3076923076924
75,87,2000,-122.50801000000001,37.774982,760.2201257861635
76,88,2290,-122.50799599999999,37.754715000000004,673.4762176018229
77,89,1334,-122.50799599999999,37.774982,1025.0371839365393
78,90,2060,-122.50798999999999,37.774788,760.2201257861635
79,91,4520,-122.50798,37.749485,869.2339205243752
80,92,1760,-122.50798,37.774532,951.8465650366263
81,93,1168,-122.50796499999998,37.758934,858.8571428571428
82,94,1168,-122.50796499999998,37.759,858.8571428571428
83,95,2590,-122.50796000000001,37.774277000000005,619.5096368165727
84,96,921,-122.50793,37.75472,895.6666666666666
85,97,2080,-122.50793,37.77405,775.3144654088051
86,98,1475,-122.50792,37.773926,930.4211642705634
87,99,1410,-122.50791000000001,37.773796000000004,998.1660990306524
88,100,1373,-122.50788999999999,37.75659,1169.8243992606285
89,101,1320,-122.50788,37.75784,838.1228578961245
90,103,1275,-122.50786000000001,37.757453999999996,838.1228578961245
91,104,1450,-122.50785,37.75736,875.451698385931
92,105,1195,-122.50785,37.75739,845.5329807959921
93,106,1580,-122.50783999999999,37.772696999999994,937.3653414882772
94,107,1960,-122.50783500000001,37.772729999999996,770.5069124423964
95,108,1080,-122.507805,37.772316,1057.142857142857
96,109,1080,-122.5078,37.756355,876.0099440646363
97,110,1554,-122.50778000000001,37.771834999999996,937.3653414882772
98,111,1694,-122.507774,37.771774,937.3653414882772
99,112,903,-122.50776,37.755875,936.8067226890756
