old_index,beds,longitude,latitude,mean_neighbor_price
0,4,-122.50965,37.78028,1032000
1,4,-122.50929,37.762608,788333.3333
2,5,-122.50929,37.762608,1305000
3,2,-122.50924,37.77733,1015833.333
4,4,-122.50919,37.776695,1351666.667
6,3,-122.509186,37.761005,871000
8,3,-122.50908,37.75948,1151000
10,3,-122.509056,37.774548,850833.3333
11,3,-122.509056,37.774548,850833.3333
12,3,-122.509056,37.774612,850833.3333
13,3,-122.50905,37.774677,1119166.667
14,3,-122.50904,37.774418,864166.6667
16,2,-122.50903,37.77442,874000
18,2,-122.50902,37.774292,874000
19,2,-122.50902,37.774292,874000
20,3,-122.50901,37.773907,794666.6667
21,5,-122.50901,37.77397,1448333.333
22,3,-122.508995,37.773907,809666.6667
24,3,-122.508965,37.77352,731333.3333
25,3,-122.508965,37.77352,731333.3333
26,2,-122.50884,37.75612,625000
27,3,-122.508835,37.771725,1033333.333
28,4,-122.50879,37.755703,1155000
29,3,-122.50877,37.755543,826000
30,2,-122.508766,37.779903,935000
31,2,-122.50874,37.779892,935000
32,2,-122.50868,37.779003,1018333.333
33,2,-122.50868,37.779003,1018333.333
34,3,-122.508606,37.778996,873333.3333
35,2,-122.50857,37.775208,587000
36,3,-122.50857,37.779007,873333.3333
37,2,-122.50856,37.75384,1020333.333
38,3,-122.50856,37.75384,1469000
39,4,-122.50856,37.76217,788333.3333
40,3,-122.50852,37.776123,810000
41,2,-122.50852,37.779907,935000
42,2,-122.50851,37.753426,1022000
43,2,-122.50845,37.75845,533333.3333
44,3,-122.50839,37.77613,810000
45,3,-122.50837,37.752396,929000
47,2,-122.50832,37.779274,1018333.333
48,3,-122.508316,37.77918,873333.3333
49,2,-122.50831,37.7636,717333.3333
50,3,-122.50831,37.76388,610333.3333
51,2,-122.50831,37.775208,587000
52,3,-122.50831,37.776146,810000
53,3,-122.508286,37.756584,642000
54,2,-122.508286,37.778763,1008333.333
55,3,-122.508286,37.778763,1291666.667
56,3,-122.50827,37.758446,1011666.667
58,2,-122.50826,37.75163,800000
59,3,-122.50826,37.76297,801666.6667
60,2,-122.508255,37.762936,684000
61,3,-122.508255,37.7783,1647500
64,3,-122.50823,37.777973,1429500
65,3,-122.50822,37.777775,1188025
66,2,-122.50822,37.777775,1021500
67,3,-122.5082,37.777576,1188025
68,2,-122.508194,37.777676,1052500
69,1,-122.50818,37.756588,548300
71,4,-122.50815,37.761562,788333.3333
72,2,-122.50813,37.761116,598333.3333
73,5,-122.50813,37.776585,1307666.667
74,2,-122.508125,37.750565,1006333.333
76,2,-122.50812,37.75658,574333.3333
77,2,-122.50812,37.75658,574333.3333
78,2,-122.50812,37.75658,574333.3333
79,3,-122.50811,37.761055,670000
80,3,-122.5081,37.776398,773333.3333
81,2,-122.508095,37.750313,1006333.333
82,2,-122.508064,37.756584,575333.3333
83,3,-122.50804,37.77558,885000
84,2,-122.50803,37.775486,587000
85,2,-122.508026,37.75967,504000
86,2,-122.50802,37.759766,598333.3333
87,3,-122.50801,37.774982,855850
88,4,-122.507996,37.754715,1231666.667
89,3,-122.507996,37.774982,855850
90,5,-122.50799,37.774788,1448333.333
91,3,-122.50798,37.749485,793333.3333
92,3,-122.50798,37.774532,1109183.333
93,3,-122.507965,37.758934,1011666.667
94,3,-122.507965,37.759,1011666.667
95,3,-122.50796,37.774277,1217516.667
96,2,-122.50793,37.75472,669666.6667
97,3,-122.50793,37.77405,1217516.667
98,2,-122.50792,37.773926,630333.3333
99,2,-122.50791,37.773796,630333.3333
100,3,-122.50789,37.75659,642000
101,1,-122.50788,37.75784,548300
103,2,-122.50786,37.757454,484333.3333
104,3,-122.50785,37.75736,728666.6667
105,2,-122.50785,37.75739,536000
106,3,-122.50784,37.772697,830833.3333
107,2,-122.507835,37.77273,778000
108,3,-122.507805,37.772316,917500
109,2,-122.5078,37.756355,553333.3333
110,3,-122.50778,37.771835,844166.6667
111,3,-122.507774,37.771774,844166.6667
112,2,-122.50776,37.755875,823333.3333
113,4,-122.50776,37.75607,760000
114,4,-122.50775,37.754726,1231666.667
115,5,-122.50775,37.75594,1148333.333
116,2,-122.507744,37.747684,606666.6667
117,2,-122.507744,37.75559,751333.3333
118,2,-122.507744,37.75559,751333.3333
119,2,-122.507744,37.755875,823333.3333
120,2,-122.50773,37.755653,751333.3333
122,3,-122.50771,37.755363,752666.6667
123,2,-122.50771,37.764046,717333.3333
124,3,-122.50769,37.755108,752666.6667
125,3,-122.50766,37.754585,716666.6667
126,4,-122.50765,37.754364,1003333.333
127,4,-122.50763,37.75417,1003333.333
128,2,-122.50763,37.77905,884666.6667
129,3,-122.50762,37.75411,847333.3333
130,3,-122.507614,37.74672,1078333.333
131,2,-122.507614,37.753788,1028666.667
132,4,-122.507614,37.77711,1220000
133,2,-122.50761,37.75366,1028666.667
134,3,-122.50761,37.753853,968000
135,3,-122.5076,37.746593,1078333.333
136,3,-122.50759,37.74653,1078333.333
137,2,-122.50758,37.753468,862000
138,2,-122.50758,37.78073,1026683.333
139,2,-122.507576,37.753212,862000
140,3,-122.507576,37.753212,866333.3333
141,3,-122.50757,37.753147,866333.3333
142,3,-122.5075,37.780735,1178333.333
143,3,-122.5075,37.780735,1178333.333
144,2,-122.507484,37.779045,874666.6667
145,2,-122.50747,37.77713,848333.3333
146,3,-122.50747,37.77713,1113525
147,4,-122.507454,37.751472,828333.3333
148,2,-122.50744,37.751217,803333.3333
149,2,-122.50744,37.75128,688333.3333
150,3,-122.50744,37.75128,909833.3333
151,2,-122.50743,37.75128,688333.3333
152,3,-122.50743,37.751347,909833.3333
154,2,-122.50742,37.751217,620000
155,3,-122.50739,37.750534,976666.6667
156,3,-122.50739,37.776188,762500
157,3,-122.50739,37.776188,762500
158,3,-122.507385,37.750473,976666.6667
159,2,-122.50738,37.75041,736000
160,3,-122.50737,37.750217,1108333.333
161,2,-122.50737,37.75028,848666.6667
162,3,-122.50737,37.75028,1108333.333
163,3,-122.50736,37.762234,806666.6667
164,3,-122.50735,37.749897,800000
165,5,-122.50734,37.749767,923000
166,3,-122.50734,37.749832,800000
167,2,-122.50733,37.77619,760000
168,2,-122.507324,37.7498,743333.3333
169,3,-122.50732,37.758488,826933.3333
170,2,-122.5073,37.74948,785000
171,2,-122.50726,37.77527,724000
172,4,-122.50726,37.77527,1199333.333
173,3,-122.507256,37.748543,670000
175,3,-122.50725,37.763763,610333.3333
