,sf,longitude,latitude,mean_hood_ppsf
5,3735.0,-122.50918999999999,37.776695000000004,887.9964301651048
7,1515.8214689265537,-122.50908999999999,37.75958,945.361989769676
9,2120.0,-122.509056,37.75801,796.3836477987421
15,1515.8214689265537,-122.50903999999998,37.774418,1078.623065787453
17,1087.0,-122.50901999999999,37.758635999999996,1232.750689972401
23,1326.0,-122.50898000000001,37.77368,1045.7516339869283
46,1515.8214689265537,-122.50837,37.752396000000005,1066.3085109079225
57,1800.0,-122.50827,37.778465000000004,904.6296296296296
62,3221.0,-122.50825,37.777084,1069.1296698747801
63,995.0,-122.50823999999999,37.75144,1407.035175879397
70,1177.0,-122.50816,37.761627000000004,1101.812517700368
75,2027.0,-122.508125,37.776707,782.9962177273475
102,2305.0,-122.50788,37.78049,788.1417208966017
153,3935.0,-122.50743,37.777122,936.0440491317239
174,1517.0,-122.50725600000001,37.748543,949.241924851681
188,3280.0,-122.50716399999999,37.778217,1049.8983739837397
206,2785.0,-122.50702,37.780766,664.2728904847397
210,1450.0,-122.506996,37.775932,1122.9885057471263
219,1493.0,-122.50693000000001,37.7593,959.8124581379773
229,1680.0,-122.50685,37.77375,923.6111111111112
230,1948.0,-122.50685,37.773876,814.7501711156741
233,1020.0,-122.506805,37.773098,1045.5882352941176
235,1075.0,-122.5068,37.773163000000004,992.0930232558139
252,1369.0,-122.50672,37.75103,941.0762113464816
255,1340.0,-122.50672,37.772009999999995,829.6019900497513
264,850.0,-122.50664499999999,37.755444,1406.156862745098
272,1310.0,-122.50656000000001,37.751038,979.6437659033078
333,1500.0,-122.50606,37.747013,960.0
348,1290.0,-122.506,37.776817,1223.5142118863048
351,1617.0,-122.50598000000001,37.761086,931.7666460523604
363,1515.8214689265537,-122.50595,37.754818,1108.090036392044
380,1855.0,-122.505905,37.775535999999995,858.041329739443
385,975.0,-122.50588,37.74432,1022.2222222222222
387,2163.0,-122.50588,37.759859999999996,780.5517028817999
391,1045.0,-122.505875,37.75973,1276.0765550239234
395,1266.0,-122.50587,37.744254999999995,921.5376513954714
401,1547.0,-122.50583999999999,37.75922,964.2318465847878
406,995.0,-122.505806,37.743286,1135.7252931323285
469,1381.0,-122.50546000000001,37.738407,948.587979724837
488,1011.0,-122.505325,37.736470000000004,1188.5921529838445
490,1701.0,-122.5053,37.751404,823.0452674897119
510,1158.0,-122.50505,37.74803,1059.2976396085205
513,1634.0,-122.50504,37.747707,881.2729498164015
523,1590.0,-122.50500500000001,37.773487,975.8909853249477
536,1083.652388797364,-122.50497,37.76209,1230.560661135917
549,3060.0,-122.5049,37.745779999999996,665.5773420479303
553,1450.0,-122.504875,37.776096,1122.9885057471263
566,1355.0,-122.50478000000001,37.775063,998.769987699877
582,1890.0,-122.50471999999999,37.743332,891.1463844797179
583,1686.0,-122.50471999999999,37.7742,877.8173190984579
586,1140.0,-122.5047,37.73989,973.6842105263158
615,1515.8214689265537,-122.504585,37.73617,933.7071431872631
650,1691.0,-122.50431,37.75264,827.9124778237729
660,1214.0,-122.50421000000001,37.751358,1002.1965952773202
686,1304.0,-122.50398999999999,37.763477,1051.8916155419224
690,1414.0,-122.503975,37.778664,1106.7892503536068
693,1300.0,-122.50395,37.773533,919.2307692307693
695,2869.0,-122.50394399999999,37.762844,723.5970721505751
707,1515.8214689265537,-122.50386999999999,37.761818,925.7906436218507
715,1300.0,-122.50381999999999,37.745765999999996,968.1310256410255
717,1680.0,-122.50381499999999,37.77653,927.5793650793651
719,962.0,-122.50379,37.745403,959.8059598059599
720,962.0,-122.50379,37.745403,959.8059598059599
724,2139.0,-122.50378,37.775954999999996,702.8206326944055
729,1065.0,-122.50375,37.760017,1252.112676056338
746,1080.0,-122.50368,37.74354,1046.3395061728395
779,2210.0,-122.50353999999999,37.772736,758.6726998491705
780,910.0,-122.50353,37.741444,1256.4102564102564
786,2448.0,-122.5035,37.77219,791.1220043572985
787,1428.0,-122.50348999999999,37.740997,1009.8039215686274
797,1138.0,-122.50344,37.75117,1069.1271236086702
804,1000.0,-122.50339,37.754776,1150.0
812,1300.0,-122.50332,37.738503,1058.9743589743591
827,1100.0,-122.50321000000001,37.75227,1060.6060606060607
835,1704.0,-122.50311,37.76242,825.8998435054773
840,1162.0,-122.50306,37.749990000000004,1133.1038439472175
847,1351.0,-122.50303999999998,37.74967,1052.3069331359488
895,1650.0,-122.50276000000001,37.77664,944.4444444444443
912,1308.0,-122.50268,37.760033,1038.481141692151
932,1825.0,-122.50255,37.773945,832.8767123287671
952,2542.0,-122.50247,37.772655,788.0933648046157
953,1250.0,-122.50246000000001,37.741425,814.6666666666667
979,1193.0,-122.50228,37.754329999999996,1061.7490919251188
990,1196.0,-122.50223999999999,37.754013,1059.0858416945375
1004,1298.0,-122.50216,37.752734999999994,1032.331792501284
1005,1781.0,-122.50215,37.737194,828.1489799737974
1011,1214.0,-122.50211999999999,37.75222,1087.2872048325096
1033,1623.0,-122.50197,37.749846999999995,883.1382214006983
1060,1240.0,-122.50177,37.74377,1075.268817204301
1070,1400.0,-122.50168000000001,37.745857,977.550238095238
1091,1608.0,-122.50156399999999,37.759665999999996,815.7131011608624
