old_index,sf,longitude,latitude,mean_hood_ppsf
0,2691,-122.50965,37.78028,427.3504274
1,2437,-122.50929,37.762608,444.8091916
2,2597,-122.50929,37.762608,417.4046977
3,1312,-122.50924,37.77733,627.5406504
4,3307,-122.50919,37.776695,616.8732991
6,1168,-122.509186,37.761005,642.1232877
8,873,-122.50908,37.75948,967.1630393
10,1415.339879,-122.509056,37.774548,601.151247
11,1415.339879,-122.509056,37.774548,601.151247
12,1328,-122.509056,37.774612,640.687751
13,2200,-122.50905,37.774677,571.2121212
14,1368,-122.50904,37.774418,681.6520468
16,1052.683672,-122.50903,37.77442,760.2790417
18,1052.683672,-122.50902,37.774292,760.2790417
19,1275,-122.50902,37.774292,758.1699346
20,1523,-122.50901,37.773907,556.4674984
21,3172,-122.50901,37.77397,490.752417
22,1065,-122.508995,37.773907,751.486698
24,1180,-122.508965,37.77352,619.7740113
25,1180,-122.508965,37.77352,619.7740113
26,1125,-122.50884,37.75612,640.2962963
27,1965,-122.508835,37.771725,602.8837998
28,1832,-122.50879,37.755703,526.7467249
29,1188,-122.50877,37.755543,611.3916947
30,1843,-122.508766,37.779903,546.210888
31,1512,-122.50874,37.779892,641.5343915
32,1134,-122.50868,37.779003,870.0764256
33,1134,-122.50868,37.779003,870.0764256
34,1702,-122.508606,37.778996,705.052879
35,1012,-122.50857,37.775208,644.9275362
36,1372,-122.50857,37.779007,488.0952381
37,912,-122.50856,37.75384,877.1929825
38,1415.339879,-122.50856,37.75384,1006.354272
39,1541,-122.50856,37.76217,457.7114428
40,1630,-122.50852,37.776123,625.7668712
41,1125,-122.50852,37.779907,877.037037
42,1052.683672,-122.50851,37.753426,810.9432011
43,1002,-122.50845,37.75845,559.5475715
44,1630,-122.50839,37.77613,625.7668712
45,1719,-122.50837,37.752396,534.6131472
47,1579,-122.50832,37.779274,645.9784674
48,1475,-122.508316,37.77918,578.5310734
49,961,-122.50831,37.7636,677.4193548
50,1100,-122.50831,37.76388,554.8484848
51,1025,-122.50831,37.775208,636.7479675
52,2054,-122.50831,37.776146,387.8610841
53,1912,-122.508286,37.756584,504.707113
54,1680,-122.508286,37.778763,714.2857143
55,2191,-122.508286,37.778763,751.9397535
56,1165,-122.50827,37.758446,868.3834049
58,995,-122.50826,37.75163,909.5477387
59,1157,-122.50826,37.76297,556.0357246
60,905,-122.508255,37.762936,781.5837937
61,2300,-122.508255,37.7783,716.3043478
64,2205,-122.50823,37.777973,747.1655329
65,1494,-122.50822,37.777775,887.2322624
66,1494,-122.50822,37.777775,887.2322624
67,1494,-122.5082,37.777576,887.2322624
68,1052.683672,-122.508194,37.777676,763.9205281
69,744.3465347,-122.50818,37.756588,1034.464412
71,2100,-122.50815,37.761562,447.6190476
72,1318,-122.50813,37.761116,612.0384421
73,3450,-122.50813,37.776585,591.3043478
74,995,-122.508125,37.750565,985.9296482
